Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 03일, 삼성,3회초,코너,2 고승민,3 (0-2),헛스윙 삼진,1사 1루 0:5,2사 1루 0:5,0.66,0.545,-0.315,92.40%,-0.016
05월 10일, LG,5회말,엔스,2 고승민,3 (1-1),2루수 땅볼 아웃,2사 2:1,이닝종료 2:1,0.64,0.113,-0.113,33.70%,-0.016
04월 02일, 한화,2회초,산체스,7 고승민,10 (3-2),1루수 땅볼 아웃,1사 0:0,2사 0:0,0.65,0.276,-0.168,54.00%,-0.016
05월 19일, 두산,6회초,브랜든,3 고승민,2 (1-0),투수 땅볼 아웃,2사 1:2,이닝종료 1:2,0.67,0.118,-0.118,74.30%,-0.017
05월 16일, KT,1회초,쿠에바스,2 고승민,1 (0-0),좌익수 플라이 아웃,무사 2루 0:0,1사 2루 0:0,1.44,0.981,-0.193,48.20%,-0.018
03월 26일, KIA,3회초,양현종,2 고승민,4 (2-1),3루수 땅볼 아웃,1사 0:0,2사 0:0,0.72,0.271,-0.167,54.30%,-0.018
05월 19일, 두산,4회초,브랜든,3 고승민,4 (1-2),헛스윙 삼진,1사 0:2,2사 0:2,0.72,0.293,-0.175,77.80%,-0.018
05월 26일, 삼성,5회말,원태인,3 고승민,7 (2-2),헛스윙 삼진,무사 1루 1:3,1사 1루 1:3,0.89,0.98,-0.431,81.60%,-0.021
05월 09일, 한화,2회말,페냐,2 고승민,2 (0-1),우익수 플라이 아웃,1사 2루 2:4,2사 3루 2:4,0.86,0.784,-0.353,74.30%,-0.021
05월 22일, KIA,7회말,이준영,3 고승민,5 (2-2),1루수 인필드플라이 아웃,"무사 1,2루 1:3","1사 1,2루 1:3",0.71,1.645,-0.651,90.50%,-0.022
05월 12일, LG,6회말,김유영,2 고승민,6 (3-2),포수 파울플라이 아웃,2사 1루 3:4,이닝종료 3:4,0.79,0.233,-0.233,69.60%,-0.022
03월 31일, NC,3회말,카스타노,2 고승민,5 (2-2),좌익수 플라이 아웃,2사 1루 3:0,이닝종료 3:0,0.78,0.223,-0.223,18.20%,-0.022
05월 29일, 한화,6회초,황준서,3 고승민,1 (0-0),좌익수 플라이 아웃,무사 0:3,1사 0:3,0.92,0.566,-0.268,89.00%,-0.024
03월 30일, NC,3회말,신민혁,2 고승민,4 (1-2),헛스윙 삼진,1사 1루 4:0,2사 1루 4:0,0.99,0.538,-0.311,13.70%,-0.024
05월 11일, LG,8회말,김유영,2 고승민,1 (0-0),우익수 방면 1루타,무사 1루 2:0,1사 3루 2:0,3.05,0.979,0.021,21.60%,-0.025
05월 29일, 한화,3회초,황준서,3 고승민,6 (3-2),우익수 플라이 아웃,2사 2루 0:3,이닝종료 0:3,0.96,0.39,-0.39,84.30%,-0.027
05월 28일, 한화,1회초,문동주,3 고승민,6 (2-2),헛스윙 삼진,1사 1루 0:0,2사 1루 0:0,1.15,0.551,-0.309,52.60%,-0.028
03월 29일, NC,3회말,김시훈,2 고승민,6 (3-2),2루수 땅볼 아웃,2사 1루 1:0,이닝종료 1:0,0.98,0.228,-0.228,37.50%,-0.028
05월 18일, 두산,5회초,곽빈,3 고승민,1 (0-0),중견수 플라이 아웃,1사 1루 2:5,2사 1루 2:5,1.19,0.549,-0.307,86.60%,-0.029
05월 14일, KT,4회초,엄상백,2 고승민,7 (1-2),중견수 플라이 아웃,무사 0:1,1사 0:1,1.14,0.556,-0.268,65.40%,-0.029
05월 22일, KIA,1회말,윤영철,3 고승민,5 (3-1),중견수 플라이 아웃,1사 2루 0:0,2사 3루 0:0,1.21,0.792,-0.36,53.60%,-0.03
06월 01일, NC,8회말,김영규,3 고승민,6 (3-2),중견수 플라이 아웃,2사 3:2,이닝종료 3:2,1.25,0.119,-0.119,16.20%,-0.032
04월 27일, NC,5회초,김시훈,7 고승민,5 (1-2),3루수 땅볼 아웃,무사 0:1,1사 0:1,1.27,0.541,-0.264,67.30%,-0.032
05월 11일, LG,1회말,손주영,2 고승민,2 (0-1),중견수 플라이 아웃,무사 1루 0:0,1사 1루 0:0,1.42,0.979,-0.433,55.00%,-0.033
05월 03일, 삼성,1회초,코너,2 고승민,3 (1-1),3루수 플라이 아웃,무사 1루 0:0,1사 1루 0:0,1.44,0.971,-0.425,49.80%,-0.033
