Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06월 06일, 두산,2회초,장원준,5 노시환,5 (2-2),우익수 방면 1루타,1사 0:0,1사 1루 0:0,0.65,0.266,0.264,49.80%,0.026
05월 27일, NC,2회초,이재학,5 노시환,5 (3-1),4구,1사 0:0,1사 1루 0:0,0.65,0.266,0.264,49.80%,0.026
06월 06일, 두산,8회초,이영하,5 노시환,2 (0-1),좌익수 방면 1루타,1사 1:4,1사 1루 1:4,0.54,0.266,0.264,92.80%,0.026
07월 09일, SSG,3회말,오원석,3 노시환,6 (3-2),중견수 희생플라이 아웃,1사 3루 0:1,2사 0:2,1.32,0.979,0.12,74.10%,0.025
06월 27일, KT,7회말,주권,3 노시환,2 (1-0),좌익수 방면 1루타,"1사 1,2루 1:3",1사 만루 1:3,0.83,0.977,0.688,93.00%,0.025
08월 17일, NC,5회초,이용준,3 노시환,4 (3-0),4구,1사 2루 3:3,"1사 1,2루 3:3",1.66,0.75,0.227,45.00%,0.024
08월 16일, NC,8회초,김영규,3 노시환,4 (3-0),4구,1사 2:1,1사 1루 2:1,0.68,0.266,0.264,25.10%,0.024
05월 17일, 롯데,8회말,김상수,2 노시환,8 (3-2),4구,2사 1:1,2사 1루 1:1,1.03,0.099,0.116,55.00%,0.024
04월 12일, KIA,9회초,정해영,3 노시환,8 (3-2),4구,2사 0:2,2사 1루 0:2,0.44,0.099,0.116,96.50%,0.024
05월 30일, 키움,4회말,안우진,5 노시환,4 (2-1),중견수 방면 1루타,무사 0:2,무사 1루 0:2,0.6,0.523,0.417,81.20%,0.023
05월 03일, 두산,3회초,김동주,3 노시환,2 (0-1),유격수 방면 내야 안타,2사 1루 0:1,"2사 1,2루 0:1",0.93,0.215,0.269,62.10%,0.023
04월 07일, SSG,6회말,박종훈,3 노시환,5 (3-1),4구,2사 1:0,2사 1루 1:0,0.75,0.099,0.116,34.60%,0.023
07월 28일, SSG,3회초,엘리아스,3 노시환,4 (2-1),사구,2사 1루 0:0,"2사 1,2루 0:0",0.91,0.215,0.269,50.70%,0.022
04월 13일, KIA,3회초,이의리,3 노시환,7 (3-2),4구,2사 1루 0:0,"2사 1,2루 0:0",0.91,0.215,0.269,50.70%,0.022
09월 06일, SSG,1회말,김광현,3 노시환,6 (3-2),4구,1사 2루 1:0,"1사 1,2루 1:0",1.29,0.75,0.227,48.60%,0.022
06월 07일, 두산,9회초,홍건희,3 노시환,2 (1-0),우익수 방면 1루타,1사 3:6,1사 1루 3:6,0.4,0.266,0.264,96.40%,0.022
06월 22일, KIA,1회말,이의리,3 노시환,6 (3-2),좌익수 방면 2루타,2사 0:0,2사 2루 0:0,0.4,0.099,0.274,53.20%,0.022
