Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04월 19일, 한화,9회초,주현상,6 김영웅,4 (1-2),헛스윙 삼진,1사 1:6,2사 1:6,0.07,0.275,-0.168,100.00%,-0.002
04월 02일, 키움,8회말,김윤하,8 김영웅,4 (2-1),2루수 땅볼 아웃,무사 8:1,1사 8:1,0.08,0.54,-0.265,0.20%,-0.002
04월 23일, LG,7회말,우강훈,5 김영웅,1 (0-0),좌익수 플라이 아웃,1사 3:7,2사 3:7,0.08,0.275,-0.169,96.70%,-0.002
04월 18일, 두산,5회말,곽빈,5 김영웅,2 (0-1),좌익수 플라이 아웃,1사 0:5,2사 0:5,0.1,0.276,-0.168,95.60%,-0.002
04월 07일, KIA,9회초,윤중현,5 김영웅,2 (1-0),1루수 땅볼 아웃,2사 2루 7:3,이닝종료 7:3,0.09,0.392,-0.392,1.80%,-0.003
04월 17일, 두산,2회말,최준호,6 김영웅,3 (0-2),2루수 땅볼 아웃,2사 1루 0:7,이닝종료 0:7,0.09,0.226,-0.226,96.30%,-0.003
05월 30일, 키움,8회말,박승주,5 김영웅,4 (2-1),중견수 플라이 아웃,무사 0:3,1사 0:3,0.11,0.566,-0.268,97.10%,-0.003
05월 12일, NC,9회초,신영우,4 김영웅,2 (1-0),우익수 플라이 아웃,"무사 2,3루 6:2","1사 2,3루 6:2",0.07,2.257,-0.654,0.90%,-0.003
04월 09일, 롯데,7회초,박진형,6 김영웅,5 (2-2),루킹 삼진,2사 5:1,이닝종료 5:1,0.11,0.105,-0.105,6.90%,-0.003
05월 31일, 한화,6회말,김범수,5 김영웅,2 (0-1),1루수 땅볼 아웃,2사 5:8,이닝종료 5:8,0.16,0.12,-0.12,89.70%,-0.004
05월 29일, 키움,8회말,문성현,5 김영웅,3 (1-1),좌익수 플라이 아웃,무사 11:5,1사 11:5,0.16,0.564,-0.269,0.60%,-0.004
04월 14일, NC,6회말,이준호,6 김영웅,2 (0-1),1루수 땅볼 아웃,무사 2:6,1사 2:6,0.16,0.563,-0.268,94.90%,-0.004
05월 14일, SSG,6회초,오원석,4 김영웅,4 (0-2),헛스윙 삼진,2사 0:4,이닝종료 0:4,0.21,0.115,-0.115,95.30%,-0.006
04월 16일, 두산,3회말,박소준,6 김영웅,5 (2-2),1루수 땅볼 아웃,1사 2루 0:5,2사 3루 0:5,0.28,0.785,-0.355,93.30%,-0.007
05월 29일, 키움,4회말,헤이수스,5 김영웅,3 (0-2),2루수 땅볼 아웃,무사 8:1,1사 8:1,0.26,0.564,-0.269,2.70%,-0.007
04월 11일, 롯데,8회초,김상수,6 김영웅,3 (0-2),헛스윙 삼진,2사 2:0,이닝종료 2:0,0.26,0.116,-0.116,16.20%,-0.007
05월 30일, 키움,5회말,김선기,5 김영웅,4 (0-2),헛스윙 삼진,1사 0:3,2사 0:3,0.27,0.298,-0.179,87.10%,-0.007
05월 23일, KT,5회말,원상현,4 김영웅,3 (0-2),헛스윙 삼진,2사 5:1,이닝종료 5:1,0.28,0.116,-0.116,7.90%,-0.007
05월 22일, KT,3회말,쿠에바스,4 김영웅,1 (0-0),중견수 플라이 아웃,2사 1:3,이닝종료 1:3,0.31,0.116,-0.116,73.30%,-0.008
04월 06일, KIA,9회초,윤중현,5 김영웅,6 (3-2),중견수 플라이 아웃,"2사 2,3루 7:4",이닝종료 7:4,0.3,0.62,-0.62,4.10%,-0.009
05월 26일, 롯데,7회초,전미르,4 김영웅,2 (1-0),좌익수 플라이 아웃,무사 1루 1:7,1사 1루 1:7,0.4,0.98,-0.431,98.40%,-0.009
05월 22일, KT,6회말,쿠에바스,4 김영웅,3 (0-2),헛스윙 삼진,1사 1:3,2사 1:3,0.37,0.292,-0.176,82.60%,-0.009
05월 12일, NC,1회초,이재학,4 김영웅,4 (1-2),헛스윙 삼진,2사 1:0,이닝종료 1:0,0.37,0.115,-0.115,44.50%,-0.009
05월 01일, 두산,7회초,김명신,6 김영웅,4 (1-2),헛스윙 삼진,"1사 1,2루 6:2","2사 1,2루 6:2",0.42,0.991,-0.5,5.90%,-0.01
04월 21일, 한화,9회초,김범수,5 김영웅,4 (1-2),헛스윙 삼진,1사 1루 5:3,2사 2루 5:3,0.39,0.54,-0.314,8.30%,-0.01
04월 16일, 두산,7회말,이병헌,6 김영웅,5 (2-2),헛스윙 삼진,무사 5:7,1사 5:7,0.4,0.566,-0.268,87.90%,-0.01
05월 25일, 롯데,4회초,김진욱,4 김영웅,3 (0-2),루킹 삼진,1사 0:4,2사 0:4,0.44,0.294,-0.177,90.80%,-0.011
04월 26일, 키움,2회초,김인범,6 김영웅,7 (3-2),루킹 삼진,2사 0:0,이닝종료 0:0,0.42,0.108,-0.108,55.10%,-0.011
05월 19일, 한화,2회말,류현진,4 김영웅,5 (1-2),우익수 플라이 아웃,무사 6:0,1사 6:0,0.43,0.564,-0.269,7.00%,-0.011
05월 18일, 한화,3회말,조동욱,4 김영웅,2 (0-1),유격수 플라이 아웃,무사 1:4,1사 1:4,0.45,0.56,-0.268,83.20%,-0.011
05월 31일, 한화,8회말,장민재,5 김영웅,6 (3-2),헛스윙 삼진,"2사 1,2루 6:8",이닝종료 6:8,0.46,0.514,-0.514,92.60%,-0.012
05월 16일, SSG,9회초,한두솔,4 김영웅,2 (0-1),중견수 플라이 아웃,"1사 2,3루 6:3","2사 2,3루 6:3",0.23,1.602,-0.991,3.20%,-0.012
04월 26일, 키움,8회초,김재웅,6 김영웅,4 (1-2),루킹 삼진,"1사 1,2루 3:0","2사 1,2루 3:0",0.53,0.969,-0.488,7.10%,-0.012
04월 25일, LG,4회말,최원태,6 김영웅,3 (0-2),낫아웃 삼진,2사 2:0,이닝종료 2:0,0.49,0.108,-0.108,24.50%,-0.013
05월 03일, 롯데,2회말,나균안,5 김영웅,4 (1-2),루킹 삼진,"2사 1,3루 0:5",이닝종료 0:5,0.46,0.572,-0.572,90.90%,-0.013
05월 10일, NC,4회초,하트,4 김영웅,2 (1-0),1루수 땅볼 아웃,2사 0:0,이닝종료 0:0,0.51,0.112,-0.112,56.00%,-0.013
03월 29일, SSG,9회말,문승원,9 김영웅,4 (2-1),중견수 플라이 아웃,2사 6:4,이닝종료 6:4,0.56,0.107,-0.107,0.00%,-0.015
04월 11일, 롯데,2회초,이인복,6 김영웅,3 (2-0),2루수 땅볼 아웃,무사 2루 0:0,1사 3루 0:0,1.29,1.291,-0.273,45.20%,-0.015
05월 04일, 롯데,6회말,윌커슨,5 김영웅,4 (1-2),유격수 플라이 아웃,1사 1:2,2사 1:2,0.62,0.283,-0.171,70.60%,-0.015
04월 30일, 두산,8회초,김강률,5 김영웅,5 (2-2),헛스윙 삼진,1사 1루 0:4,2사 1루 0:4,0.62,0.541,-0.315,98.00%,-0.016
04월 16일, 두산,2회말,박소준,6 김영웅,3 (0-2),우익수 직선타 아웃,무사 0:2,1사 0:2,0.62,0.566,-0.268,73.40%,-0.016
04월 10일, 롯데,2회초,윌커슨,6 김영웅,4 (1-2),헛스윙 삼진,1사 0:2,2사 0:2,0.64,0.29,-0.173,74.00%,-0.016
04월 30일, 두산,2회초,곽빈,5 김영웅,4 (1-2),루킹 삼진,1사 0:2,2사 0:2,0.64,0.28,-0.17,74.00%,-0.016
05월 03일, 롯데,4회말,나균안,5 김영웅,2 (1-0),1루수 땅볼 아웃,2사 1루 3:5,이닝종료 3:5,0.58,0.23,-0.23,75.50%,-0.016
05월 02일, 두산,4회초,최원준,7 김영웅,6 (2-2),우익수 플라이 아웃,1사 1:0,2사 1:0,0.67,0.282,-0.171,41.40%,-0.016
04월 21일, 한화,2회초,산체스,5 김영웅,4 (1-2),헛스윙 삼진,1사 0:0,2사 0:0,0.65,0.275,-0.169,54.00%,-0.016
