Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04월 17일, 롯데,6회말,임준섭,8 박해민,,1루주자 박해민 : 2루 이중도루,"1사 1,2루 3:5","1사 2,3루 3:5",1.09,1.268,0.345,89.70%,0.01
04월 26일, KIA,1회말,네일,2 박해민,,1루주자 박해민 : 2루 도루,2사 1루 0:0,2사 2루 0:0,0.79,0.226,0.161,53.20%,0.01
05월 17일, KT,6회초,박시영,2 박해민,3 (1-1),중견수 방면 1루타,1사 1루 5:1,"1사 1,2루 5:1",0.35,0.55,0.45,6.90%,0.01
03월 29일, 키움,5회초,후라도,1 박해민,,1루주자 박해민 : 2루 도루,"2사 1,3루 1:0","2사 2,3루 1:0",1.93,0.559,0.086,35.00%,0.009
04월 07일, KT,3회말,이선우,2 박해민,4 (3-0),4구,2사 4:6,2사 1루 4:6,0.31,0.112,0.118,74.90%,0.009
03월 23일, 한화,4회말,류현진,1 박해민,,1루주자 박해민 : 2루 도루,"2사 1,3루 2:3","2사 2,3루 2:3",1.71,0.541,0.085,69.60%,0.008
04월 07일, KT,3회말,이선우,2 박해민,,1루주자 박해민 : 2루 도루,2사 1루 4:6,2사 2루 4:6,0.58,0.23,0.162,75.70%,0.008
04월 27일, KIA,6회말,김사윤,1 박해민,3 (0-2),중견수 방면 1루타,2사 3:5,2사 1루 3:5,0.26,0.109,0.115,83.30%,0.007
04월 27일, KIA,6회말,김사윤,1 박해민,,1루주자 박해민 : 2루 도루,2사 1루 3:5,2사 2루 3:5,0.49,0.224,0.161,84.00%,0.007
05월 03일, 두산,1회말,김유성,2 박해민,,2루주자 박해민 : 3루 도루,"2사 1,2루 1:0","2사 1,3루 1:0",1.73,0.497,0.071,44.60%,0.007
04월 16일, 롯데,7회말,최준용,8 박해민,,1루주자 박해민 : 2루 도루,2사 1루 1:3,2사 2루 1:3,0.39,0.228,0.158,88.30%,0.006
06월 01일, 두산,6회초,김강률,8 박해민,8 (3-2),4구,2사 2루 4:2,"2사 1,2루 4:2",0.94,0.396,0.111,22.20%,0.006
05월 17일, KT,8회초,문용익,2 박해민,7 (3-2),4구,2사 1루 5:2,"2사 1,2루 5:2",0.25,0.238,0.268,7.10%,0.006
04월 16일, 롯데,7회말,최준용,8 박해민,3 (1-1),중견수 방면 1루타,2사 1:3,2사 1루 1:3,0.22,0.107,0.121,87.70%,0.006
05월 10일, 롯데,8회초,현도훈,1 박해민,6 (2-2),중견수 방면 3루타,무사 1루 7:1,무사 3루 8:1,0.05,0.977,1.618,0.20%,0.005
03월 23일, 한화,6회말,김기중,1 박해민,3 (0-2),투수 방면 내야 안타,1사 2:6,1사 1루 2:6,0.13,0.271,0.26,95.30%,0.005
03월 29일, 키움,9회초,전준표,1 박해민,,1루주자 박해민 : 2루 도루,2사 1루 2:0,2사 2루 2:0,0.29,0.228,0.158,7.80%,0.005
03월 29일, 키움,9회초,전준표,1 박해민,5 (3-1),4구,2사 2:0,2사 1루 2:0,0.16,0.107,0.121,8.30%,0.004
05월 19일, KT,2회초,성재헌,2 박해민,4 (2-1),좌익수 희생플라이 아웃,1사 만루 2:0,"2사 1,2루 3:0",1.88,1.772,-0.266,22.20%,0.004
05월 21일, 한화,8회초,김규연,2 박해민,,1루주자 박해민 : 2루 도루,무사 1루 3:8,무사 2루 3:8,0.53,0.984,0.297,96.70%,0.004
03월 23일, 한화,6회말,김기중,1 박해민,,1루주자 박해민 : 2루 도루,1사 1루 2:6,1사 2루 2:6,0.22,0.531,0.237,95.70%,0.004
04월 07일, KT,7회말,문용익,2 박해민,2 (0-1),투수 희생번트 아웃,"무사 1,2루 7:8","1사 2,3루 7:8",1.32,1.666,-0.05,86.30%,0.003
05월 01일, NC,6회초,카스타노,1 박해민,2 (1-0),우익수 희생플라이 아웃,"1사 2,3루 7:1",2사 3루 8:1,0.14,1.617,-0.191,1.40%,0.003
05월 08일, SSG,7회말,서진용,3 박해민,3 (1-1),3루수 땅볼 아웃,"무사 1,2루 5:7","1사 2,3루 5:7",0.71,1.67,-0.077,92.90%,0.002
