Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06월 23일, 키움,6회초,양현,4 양의지,3 (1-1),좌익수 방면 1루타,1사 1루 1:1,"1사 1,2루 1:1",1.77,0.53,0.447,44.50%,0.052
08월 24일, 키움,5회초,하영민,4 양의지,5 (2-2),우익수 방면 1루타,1사 1루 6:4,"1사 1,3루 6:4",0.92,0.53,0.728,19.30%,0.051
04월 04일, NC,6회말,송명기,5 양의지,4 (3-0),4구,무사 0:0,무사 1루 0:0,1.32,0.523,0.417,62.60%,0.051
08월 02일, 한화,8회초,장시환,4 양의지,4 (3-0),4구,1사 1:1,1사 1루 1:1,1.39,0.266,0.264,49.80%,0.049
07월 04일, 삼성,8회초,이승현,4 양의지,6 (3-2),4구,1사 3:3,1사 1루 3:3,1.39,0.266,0.264,49.80%,0.049
09월 08일, 삼성,4회말,김대우,4 양의지,3 (1-1),사구,1사 1루 2:0,"1사 1,2루 2:0",1.52,0.53,0.447,35.80%,0.048
08월 02일, 한화,12회초,한승주,4 양의지,2 (0-1),중견수 방면 2루타,2사 1루 3:1,2사 2루 4:1,0.29,0.215,1.158,3.50%,0.048
07월 29일, LG,9회말,고우석,4 양의지,4 (2-1),사구,2사 1루 6:6,"2사 1,2루 6:6",2.3,0.215,0.269,61.20%,0.048
04월 15일, LG,5회초,플럿코,5 양의지,4 (3-0),4구,무사 0:0,무사 1루 0:0,1.19,0.523,0.417,45.30%,0.047
05월 30일, NC,4회초,와이드너,3 양의지,5 (2-2),좌익수 방면 1루타,무사 0:1,무사 1루 0:1,1.14,0.523,0.417,57.90%,0.047
09월 24일, NC,4회초,신민혁,4 양의지,5 (3-1),4구,무사 2루 0:2,"무사 1,2루 0:2",1.54,1.249,0.375,61.90%,0.045
04월 14일, LG,4회초,김윤식,5 양의지,6 (1-2),우익수 방면 1루타,무사 1:3,무사 1루 1:3,1.04,0.523,0.417,68.90%,0.044
04월 08일, KIA,4회초,이의리,5 양의지,6 (3-2),4구,무사 0:2,무사 1루 0:2,1.04,0.523,0.417,68.90%,0.044
04월 28일, SSG,8회초,노경은,4 양의지,4 (3-0),4구,"2사 1,2루 1:4",2사 만루 1:4,1.54,0.484,0.46,88.90%,0.044
09월 23일, NC,4회초,이재학,4 양의지,5 (1-2),우익수 방면 1루타,무사 0:0,무사 1루 0:0,1.08,0.523,0.417,45.70%,0.043
